date,open,high,low,volume,close,future_return
2013-11-27,4.5536,4.5749335,4.5232,12142500.0,4.5648,-0.009442760206241352
2013-11-29,4.5749335,4.5861335,4.534933,6463125.0,4.5424,0.009885797565104104
2013-12-02,4.5317335,4.606933,4.5168004,25057500.0,4.5829334,-0.009439459339234069
2013-12-03,4.5765333,4.5850673,4.525867,16421249.0,4.5557337,0.008353036826125315
2013-12-04,4.5333333,4.5866666,4.5098667,25438124.0,4.5856004,0.0215845054616286
2013-12-05,4.5712004,4.624,4.5472007,30543746.0,4.6021338,-0.0030837919919569634
2013-12-06,4.6698675,4.699734,4.608001,22798120.0,4.645868,-0.0038950338511717364
2013-12-09,4.6554666,4.667733,4.6170664,15161250.0,4.657067,0.0002300028719091074
2013-12-10,4.6373334,4.6773334,4.623467,14150624.0,4.634667,-0.004944053984132335
2013-12-11,4.6384,4.6645336,4.6053333,20983124.0,4.6272,0.0042755148855451175
2013-12-12,4.6154675,4.6565337,4.584534,17285622.0,4.6122675,-0.0011507591580172116
2013-12-13,4.635201,4.681067,4.6170673,15414373.0,4.668801,-0.02027416770287349
2013-12-16,4.629867,4.6480002,4.5328,34186870.0,4.5573335,-0.00011763667652331389
2013-12-17,4.5360003,4.5690665,4.517333,20848126.0,4.5327997,0.02163686925537367
2013-12-18,4.5354667,4.5984,4.5178666,21738750.0,4.5797334,0.005294695269336902
2013-12-19,4.6336,4.664,4.6032,24444374.0,4.6512003,-0.0033203213261276954
2013-12-20,4.6581335,4.673067,4.6026673,36631870.0,4.6432004,0.004824812979263626
2013-12-23,4.642667,4.6928,4.6341333,15971249.0,4.6704,0.009831948823028736
2013-12-24,4.665067,4.717334,4.661334,7556249.5,4.7008004,0.00022643069674277427
2013-12-26,4.7109337,4.7312,4.623467,11820000.0,4.7072,-0.002716553249868081
2013-12-27,4.7120004,4.7312,4.673067,12659999.0,4.698667,0.017251234252638747
2013-12-30,4.6992,4.7701335,4.6906667,13245000.0,4.7648,-0.004797577206461567
2013-12-31,4.780267,4.8,4.767467,9281250.0,4.7914667,-0.008968658975397115
2014-01-02,4.7573333,4.7834673,4.6752005,24639374.0,4.7157335,-0.0018098841521427822
2014-01-03,4.7146664,4.746133,4.6815996,9834376.0,4.6831994,-0.0027198124048076755
2014-01-06,4.7061334,4.706667,4.6554666,14278125.0,4.6837335,0.006136363287706725
2014-01-07,4.6933336,4.7429333,4.6752005,12343125.0,4.7232,0.009148279921601388
2014-01-08,4.7221336,4.7648,4.6938667,36241870.0,4.7488003,-0.011975301621103829
2014-01-09,4.765333,4.7674665,4.6757336,17000624.0,4.6847997,-0.0014724526968703522
2014-01-10,4.7082667,4.7184005,4.6624002,34698748.0,4.7104,0.012365001082671245
2014-01-13,4.701334,4.7536006,4.6714673,29499370.0,4.7530675,0.018713780075327868
2014-01-14,4.759466,4.8389335,4.744533,26302502.0,4.8304,-0.0029700938857060155
2014-01-15,4.8485336,4.8736,4.8133335,36614996.0,4.8357334,-0.0018754138539422982
2014-01-16,4.834133,4.8458667,4.7989335,17390626.0,4.8384,0.0007736680133147988
2014-01-17,4.825067,4.8442674,4.795201,17529374.0,4.800534,0.001988278661365195
