date,open,high,low,volume,close,return
2020-05-29,6.450421,6.5135117,6.328913,20721656.0,6.479046,0.01149112263211638
2020-06-01,6.4410744,6.6128206,6.401351,10392497.0,6.5374627,0.009016250231901335
2020-06-02,6.540968,6.6391087,6.5193534,15094883.0,6.61691,0.012152620006535608
2020-06-03,6.6309304,6.7617846,6.6309304,11096058.0,6.723229,0.0160677718149409
2020-06-04,6.6829214,6.834806,6.6601386,18860902.0,6.8202014,0.014423486095743732
2020-06-05,6.971502,7.3605604,6.9703336,34765480.0,7.322005,0.07357606770967196
2020-06-08,7.3839273,7.5492473,7.322589,28387214.0,7.494335,0.023535903075728726
2020-06-09,7.393858,7.427156,7.2606673,22738188.0,7.2676773,-0.030243870870464207
2020-06-10,7.250152,7.2741027,7.096515,15598160.0,7.109951,-0.021702435797472774
2020-06-11,7.0240774,7.0451074,6.456847,17027536.0,6.4574313,-0.09177555513392432
2020-06-12,6.653713,6.777557,6.486056,15815562.0,6.665396,0.0322054839360042
2020-06-15,6.484303,6.664228,6.3464384,15361929.0,6.6537127,-0.0017528290892244724
2020-06-16,6.89556,7.0480285,6.7676263,21214662.0,6.9732547,0.048024616391988184
2020-06-17,7.0094733,7.035177,6.813776,13398463.0,6.845321,-0.01834633976584843
2020-06-18,6.8079343,6.8675194,6.7553587,12037562.0,6.848826,0.0005120285812747483
2020-06-19,6.885045,7.068475,6.7956667,24419200.0,6.831885,-0.0024735626222655016
2020-06-22,6.7758045,6.810271,6.6969414,14658368.0,6.787488,-0.006498499316074602
2020-06-23,6.892639,6.892639,6.7483487,18802698.0,6.773468,-0.002065565346119125
2020-06-24,6.705704,6.7086244,6.4486685,15243813.0,6.512927,-0.038464934063318856
2020-06-25,6.525195,6.588286,6.408361,12556245.0,6.568424,0.008521053590804906
2020-06-26,6.589454,6.589454,6.318399,34322116.0,6.337676,-0.03512988808274253
2020-06-29,6.580692,6.727903,6.5135117,32736964.0,6.659555,0.050788175350080955
2020-06-30,6.6361876,6.8289647,6.571929,17224394.0,6.786904,0.019122749192701294
2020-07-01,6.7781415,6.8879657,6.727319,15069206.0,6.748933,-0.0055947454096889615
2020-07-02,6.8219543,6.93762,6.8055973,15305438.0,6.841232,0.013676087760835731
2020-07-06,6.9954534,7.0100574,6.8464894,12487772.0,6.8669357,0.0037571741464110797
2020-07-07,6.827212,6.8949757,6.642614,15130832.0,6.6630597,-0.029689516387928383
2020-07-08,6.672406,6.715635,6.5602455,14810721.0,6.6233354,-0.005961870640300515
2020-07-09,6.6373563,6.6601386,6.436985,12391910.0,6.572513,-0.007673233639957311
2020-07-10,6.5316205,6.6735744,6.501244,11306612.0,6.6502075,0.011821125344293693
2020-07-13,6.7243977,6.724982,6.569592,13360803.0,6.5766025,-0.011068075695382373
2020-07-14,6.4994917,6.692268,6.4831347,10440428.0,6.6829214,0.016166234769396493
2020-07-15,6.7612004,6.9089956,6.7132983,11308324.0,6.875698,0.02884615701151305
2020-07-16,6.8418164,6.8587575,6.783983,9707766.0,6.817281,-0.00849615559031236
2020-07-17,6.844153,6.9878592,6.8085184,9596497.0,6.923016,0.015509849161271072
2020-07-20,6.878034,6.914253,6.7617846,8382813.0,6.903738,-0.002784624504695632
2020-07-21,6.873945,6.9937005,6.7892404,15067495.0,6.834806,-0.009984735805443234
2020-07-22,6.88154,6.9937005,6.8704405,8886090.0,6.9563136,0.017777768674048566
2020-07-23,6.967997,7.0965147,6.9095798,8096938.0,6.9393725,-0.002435355990851207
2020-07-24,6.8943915,6.9101644,6.643198,15760784.0,6.6922684,-0.035608997787624275
2020-07-27,6.7343283,6.8079343,6.674743,13032133.0,6.7939143,0.015188556992125513
2020-07-28,6.749517,6.8225384,6.640861,7963415.5,6.650792,-0.021066250423559252
2020-07-29,6.6455345,6.7769732,6.6221676,9272962.0,6.7553587,0.015722443281942944
2020-07-30,6.6285934,6.7670417,6.5660872,9052137.0,6.7582793,0.0004323382561461919
2020-07-31,6.7366652,6.7997556,6.633267,13169079.0,6.7909927,0.004840492460854717
2020-08-03,6.8161125,6.917758,6.7793097,9197642.0,6.8616776,0.01040862553128652
2020-08-04,6.8324695,7.0001264,6.817281,17056636.0,6.982017,0.017537897729266616
2020-08-05,7.1228023,7.1228023,6.7448435,22137336.0,6.8202014,-0.02317605356732877
2020-08-06,6.7705474,6.890302,6.6840897,13427564.0,6.705704,-0.016787979310992185
2020-08-07,6.644366,6.709209,6.5923743,11613029.0,6.7045355,-0.0001742546345617768
2020-08-10,6.672991,6.718556,6.5999694,11570233.0,6.6011376,-0.015422082558888661
2020-08-11,6.6835055,7.0071363,6.6542974,19222096.0,6.8470736,0.03725660861849023
2020-08-12,6.9224315,6.9224315,6.7927456,14651521.0,6.812023,-0.005119062835836852
2020-08-13,6.768795,6.777557,6.6478715,8401643.0,6.6934366,-0.01740839688885365
2020-08-14,6.6356034,6.6513762,6.5900383,9125745.0,6.631514,-0.009251241731340176
2020-08-17,6.660139,6.724982,6.62392,6982539.0,6.6373563,0.0008809903741437974
2020-08-18,6.640861,6.6788325,6.470867,12842120.0,6.483135,-0.023235350496401797
2020-08-19,6.476709,6.5976324,6.4720354,9260980.0,6.5421357,0.009100643438706868
2020-08-20,6.5024123,6.6093154,6.4860554,10787929.0,6.561414,0.002946789990919907
2020-08-21,6.5427203,6.5468097,6.456847,9526313.0,6.493066,-0.010416657141280927
2020-08-24,6.5469937,6.6466436,6.527064,9229318.0,6.5821643,0.013722069050276176
2020-08-25,6.5956464,6.6525054,6.515927,8391685.0,6.573958,-0.00124674797315516
2020-08-26,6.563993,6.579233,6.4532056,17510116.0,6.5165124,-0.008738358231068721
2020-08-27,6.5956464,6.773844,6.5552006,20092960.0,6.731639,0.0330125359693938
2020-08-28,6.746293,6.7902565,6.668332,9869059.0,6.7609477,0.004353872808687376
2020-08-31,6.7416043,6.7416043,6.606784,10768107.0,6.6618843,-0.01465229497338083
2020-09-01,6.608542,6.6519194,6.45555,18714532.0,6.5997496,-0.009326895695261461
2020-09-02,6.678297,6.908664,6.6208515,18438166.0,6.8893204,0.04387602826628445
2020-09-03,6.8588395,6.8893204,6.524133,15677899.0,6.57513,-0.045605427205853255
2020-09-04,6.6671596,6.765637,6.5382013,23603854.0,6.697055,0.018543359598973685
2020-09-08,6.573372,6.691779,6.541132,19741528.0,6.5487523,-0.022144464992448043
2020-09-09,6.5927157,6.611473,6.4197936,10882407.0,6.48017,-0.010472575058305345
2020-09-10,6.506548,6.568096,6.410415,18480814.0,6.4526196,-0.0042514934021792294
2020-09-11,6.403967,6.5387874,6.392244,18318746.0,6.5253053,0.011264525805922299
2020-09-14,6.5862675,6.730467,6.5569587,13048994.0,6.6325755,0.01643910822072936
